activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052404,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,175000.0,75.0,3.56,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,235000,1,3,3,5,2,NA,NA,NA,9,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,4566,32.8500000000000014,95700,120,829,1515,38
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053726,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,1,2,65000.0,28.85,3.75,0.91,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,205000,1,1,3,5,1,NA,48,<20%,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,3377,48.4200000000000017,95700,82,642,1053,28
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052904,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,55000.0,84.74,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,185000,1,1,3,5,1,NA,45,>60%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,55-64,9999,No,NA,1,1,6,,,,,1,,,,7479,23.2300000000000004,95700,103,2602,2815,17
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053420,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,45000.0,84.9,4.9,2.06,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,485000,1,1,3,5,1,NA,128,42,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,6221,33.6000000000000014,95700,111,1604,1918,17
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054016,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,45000.0,49.95,4.1,1.27,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,385000,1,1,3,5,1,NA,47,42,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,2,1,1,1,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,5754,20.0199999999999996,95700,113,1666,2023,21
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053207,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,1,2,1,2,105000.0,22.22,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,455000,1,1,3,5,1,NA,141,<20%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,7,,,,7903,18.4499999999999993,95700,129,2461,2750,12
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054210,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,2,2,1,2,255000.0,82.18,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,455000,1,1,3,5,1,NA,131,37,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,65-74,65-74,Yes,Yes,1,1,6,,,,,9,,,,9678,26.6099999999999994,95700,93,2971,3539,14
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052602,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,125000.0,45.72,3.85,0.99,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,695000,1,1,3,5,2,NA,96,42,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4164,21.8500000000000014,95700,102,1189,1405,46
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053506,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,55000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,NA,1,1,3,5,1,NA,48,45,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,3,,,,5210,12.6699999999999999,95700,120,1577,1979,34
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053505,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,25000.0,66.84,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,315000,1,1,3,5,1,NA,29,>60%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,6,,,,,1,3,7,,3621,14,95700,134,1257,1390,33
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054208,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,105000.0,71.23,3.9,1.05,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,485000,1,1,3,5,1,NA,77,42,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,7078,20.9800000000000004,95700,107,1609,2277,12
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183054210,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,2,2,1,2,85000.0,83.5,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,455000,1,1,3,5,1,NA,143,<20%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,3,,,,9678,26.6099999999999994,95700,93,2971,3539,14
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052601,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,2,2,1,2,415000.0,84.98,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,1605000,1,1,3,5,1,NA,384,30%-<36%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,7,9,,2979,11.5800000000000001,95700,161,967,1111,47
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183050400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,15000.0,83.02,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,355000,1,1,3,5,1,NA,85,42,1,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,Yes,NA,1,1,6,,,,,4,,,,1771,21.3399999999999999,95700,126,385,618,46
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053421,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,2,1,2,1,2,175000.0,29.24,3.6,0.76,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,605000,1,1,3,5,1,NA,61,43,1,9,2,,,,,2,,,,,1,2,5,,,,,5,,,,,1,2,1,2,1,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,5350,30.6000000000000014,95700,133,1369,1671,14
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053008,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,1,2,205000.0,27.32,NA,NA,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,735000,1,1,3,5,1,NA,57,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,1,4,1,5,1,4,>74,9999,Yes,NA,1,1,6,,,,,1,,,,8476,33.4699999999999989,95700,90,2086,2653,24
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183052904,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,2,0,2,1,2,2,2,1,2,15000.0,40.63,5.0,2.18,3,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,195000,1,1,3,5,1,NA,34,36,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,7479,23.2300000000000004,95700,103,2602,2815,17
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183053009,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,205000.0,50.13,3.8,0.97,2,NA,NA,NA,NA,NA,300,NA,1,2,2,2,2,395000,1,1,3,5,1,NA,88,20%-<30%,1,9,2,,,,,2,,,,,1,1,5,,,,,5,,,,,1,1,1,2,1,1,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,8074,47.3400000000000034,95700,88,2002,2694,18
2021,JJKC32MCHWDI71265Z06,39580,NC,37183,37183051600,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,2,2,1,2,105000.0,65.32,4.05,1.22,2,NA,NA,NA,NA,NA,300,NA,1,2,1,1,2,615000,1,1,3,5,1,NA,195,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4729,2.39000000000000012,95700,187,1517,1971,64
